fullName,nickname,hogwartsHouse,interpretedBy,children,image,birthdate,index,knownSpells
"Minerva McGonagall",Minerva,Gryffindor,"Maggie Smith","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/minerva_mcgonagall.png,Oct 4, 1935,15,"Piertotum Locomotor;Protego;Transfiguration"
"Remus Lupin","Lupin",Gryffindor,"David Thewils","Ted Lupin",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/remus_lupin.png,Mar 10, 1960,16,"Expecto Patronum;Riddikulus;Anapneo"
"Rubeus Hagrid",Hagrid,Gryffindor,"Robbie Coltrane","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/rubeus_hagrid.png,Dec 6, 1928,17,"Lumos;Aguamenti;Engorgio"
"Sirius Black",Sirius,Gryffindor,"Gary Oldman","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/sirius_black.png,Nov 3, 1959,18,"Expecto Patronum;Stupefy;Animagus"
"Severus Snape",Snape,Slytherin,"Alan Rickman","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/severus_snape.png,Jan 9, 1960,19,"Legilimens;Sectumsempra;Occlumency"
"Bellatrix Lestrange",Bella,Slytherin,"Helena Bonham Carter","Delphi",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/bellatrix_lestrange.png,Dec 13, 1951,20,"Avada Kedavra;Crucio;Morsmordre"
"Lord Voldemort",Voldemort,Slytherin,"Ralph Fiennes","Delphi",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/lord_voldemort.png,Dec 31, 1926,21,"Avada Kedavra;Imperio;Crucio"
"Cedric Diggory",Cedric,Hufflepuff,"Robert Pattinson","",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/cedric_diggory.png,Sep 29, 1977,22,"Expecto Patronum;Stupefy;Protego"
"Nymphadora Tonks",Tonks,Hufflepuff,"Natalia Tena","Ted Lupin",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/nymphadora_tonks.png,Dec 25, 1972,23,"Riddikulus;Protego;Morsmordre"
"James Potter",James,Gryffindor,"Adrian Rawlins","Harry Potter",https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/james_potter.png,Mar 27, 1960,24,"Expecto Patronum;Expelliarmus;Animagus"
